Country Name,Indicator Name,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Oman,Imports of goods and services (annual % growth),,,,,,,,,,,,,,,,,,,-10.354922,3.312725125,16.08153549,4.895735188,16.92232851,18.52675731,11.39110407,-9.352790408,33.11912775,21.70618794,-11.27474557,20.46781977,17.06266053,19.78362363,16.08214968,-7.995686733,-0.349503116,-11.96844848,13.79084131,-4.373075355,-3.384945667
Oman,Military expenditure (% of general government expenditure),,,,,,,,,,29.61303191,25.77323718,26.47980027,25.09746147,25.82744145,25.01396648,24.50554324,25.43973214,22.73889637,21.99743918,22.69648204,24.63041183,23.7260568,23.44998452,23.06885422,25.18895001,23.62195122,21.86382755,19.38728702,18.19561551,18.46984169,18.7058566,27.39640299,24.80607889,21.3919935,21.4869075,23.67609404,21.05130785,21.02395924,19.4237739
Oman,"Official exchange rate (LCU per US$, period average)",0.345399999,0.345399999,0.345399999,0.3453975,0.345395,0.381981917,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845
Oman,Trade (% of GDP),102.7758943,101.6977044,91.71867921,87.85978864,87.01061914,80.17299281,77.94499494,71.35990076,,74.82917492,77.80682444,80.26483427,81.10583729,77.78873835,79.59149064,85.57615375,88.62796617,92.26179271,87.61943738,92.89728556,96.49054051,95.78794647,97.00044149,101.5472186,99.1109943,98.55502308,108.8717855,108.6069382,105.00603,96.38655622,101.6407252,102.0741653,112.5432326,102.27816,96.37559765,82.86218714,88.95282637,89.27921783,86.47613366
Israel,"Government expenditure on education, total (% of GDP)",,,,,,,,,,,,,,,,,,6.651189804,6.420380116,6.112820148,6.373980045,6.465060234,6.345499992,5.940279961,5.754590034,5.75635004,5.495950222,5.519949913,5.481719971,5.5198102,5.549369812,5.672530174,5.854259968,5.766819954,5.862110138,5.855780125,6.057909966,6.112339973,
Israel,Exports of goods and services (% of GDP),,,,,,,,,,,,,,,27.40548504,27.00592017,27.87782785,28.56957393,32.62723716,35.53836189,31.28663601,32.87882949,34.60920456,39.09183126,40.73650933,40.76151497,40.4212125,38.3681775,33.12208694,34.66642542,35.27229156,35.88930402,33.61617422,32.18138234,31.48237328,30.18548588,29.44582358,29.99804866,29.51343847
Israel,Exports of goods and services (constant 2015 US$),15263946486,14719464174,14958886326,16984910939,18688996870,19681692380,21722998842,21383558767,22233908580,22645669225,22001195489,25090878522,27562624587,31112284893,34237982334,36325794005,39621775053,42086713005,48168613353,59440006089,52502156769,51409298229,55573430728,65310568329,68362818576,71778915398,79135586639,83516833412,73480031045,84441635093,91284371253,91187153553,95842421852,96551837914,94471763646,96382444235,1.01E+11,1.07E+11,1.11E+11
Israel,"External debt stocks, total (DOD, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,High-technology exports (current US$),,,,,,,,,,,,,,,,,..,..,..,..,..,..,..,..,..,..,3121661000,9659048000,10540232000,10584454000,11680967000,11564735000,11743767000,12408262000,13753939000,12189271000,12056944000,12968602000,12563738000
Israel,Imports of goods and services (annual % growth),9.595608694,2.740721776,5.938553214,0.353637903,-1.093971025,8.435044917,19.9174241,-2.654172307,-4.566619334,8.458435447,12.99906446,7.009166845,14.96420586,10.36344489,7.749175851,7.186160185,4.190979965,2.123239908,15.55035982,11.95978018,-5.44114993,-1.246210358,-0.786109663,11.84835973,3.487960264,3.418440065,11.12536998,2.470420019,-13.76403014,15.03159013,11.2522697,2.139110016,0.969160207,2.276540022,-0.212310082,9.999277987,4.392249961,6.802970009,3.377259981
Israel,Military expenditure (% of general government expenditure),,,,,,,,,,,,,,,,,,,,14.05037821,13.67588691,12.78535879,13.81435315,14.28703728,14.32763291,14.08325021,15.37103635,15.19263804,14.59267428,14.67876151,14.55813891,14.03874063,13.80551659,14.78519323,14.58942665,14.45785725,14.24755535,13.45561167,13.25901654
Israel,"Official exchange rate (LCU per US$, period average)",0.011430575,0.024267,0.056214492,0.293209667,1.178849333,1.487841667,1.594641667,1.598933333,1.916416667,2.016175,2.279108333,2.459083333,2.830083333,3.011055208,3.011291667,3.19165,3.44935,3.800075,4.139716667,4.077333333,4.20565,4.737825,4.554133333,4.481983333,4.4877,4.455808333,4.108082949,3.588021194,3.932335478,3.738975,3.578129306,3.855921825,3.610758333,3.577925,3.886833333,3.840566667,3.599555548,3.590558127,3.564527347
Israel,Trade (% of GDP),,,,,,,,,,,,,,,62.57683676,61.16213899,60.44402378,59.74368249,67.79594874,71.17152781,64.96360584,68.67136332,69.97473958,78.10779408,81.58657654,81.37466965,81.76278725,77.3716749,63.75779476,67.45792417,70.76738039,71.84044764,65.40378127,62.80104057,59.83454114,58.54520868,56.99174404,59.16209174,56.83536217
Turkiye,"Government expenditure on education, total (% of GDP)",2.208300114,1.754909992,2.647599936,2.029230118,1.738109946,1.509570003,,,,,,,3.365469933,3.42482996,2.251110077,,,0,2.880990028,2.516880035,2.634619951,2.728060007,2.851310015,2.989989996,,2.728060007,,,,,,,,,,,,4.294069767,
